Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland Aero,1962,C74082,-37.00813,174.78873,7,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Max_min: Daily
Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
1962,20100906:0900,15.5,24,11.9,24,10.2,24,-,-,-,D
1962,20100907:0900,17.8,24,12.2,24,13.0,24,-,-,-,D
1962,20100908:0900,15.4,24,9.8,24,9.5,24,-,-,-,D
1962,20100909:0900,18.0,24,11.4,24,11.0,24,-,-,-,D
1962,20100910:0900,16.8,24,11.1,24,9.8,24,-,-,-,D
1962,20100911:0900,16.4,24,8.3,24,8.5,24,-,-,-,D
1962,20100912:0900,16.1,24,13.3,24,12.5,24,-,-,-,D
1962,20100913:0900,19.2,24,12.1,24,12.1,24,-,-,-,D
1962,20100914:0900,16.1,24,9.8,24,9.1,24,-,-,-,D
1962,20100915:0900,18.0,24,10.5,24,9.7,24,-,-,-,D
1962,20100916:0900,15.2,24,7.3,24,7.9,24,-,-,-,D
1962,20100917:0900,18.4,24,11.1,24,10.0,24,-,-,-,D
1962,20100918:0900,17.6,24,6.9,24,7.3,24,-,-,-,D
1962,20100919:0900,17.0,24,13.0,24,11.5,24,-,-,-,D
1962,20100920:0900,17.0,24,10.1,24,8.3,24,-,-,-,D
1962,20100921:0900,16.6,24,11.6,24,10.9,24,-,-,-,D
1962,20100922:0900,15.5,24,9.2,24,9.4,24,-,-,-,D
1962,20100923:0900,13.8,24,8.6,24,8.3,24,-,-,-,D
1962,20100924:0900,15.9,24,8.2,24,7.6,24,-,-,-,D
1962,20100925:0900,17.4,24,12.4,24,11.4,24,-,-,-,D
1962,20100926:0800,17.7,24,10.9,24,10.4,24,-,-,-,D
1962,20100927:0800,18.2,24,12.0,24,12.0,24,-,-,-,D
1962,20100928:0800,18.1,24,10.8,24,11.1,24,-,-,-,D
1962,20100929:0800,20.4,24,12.6,24,12.3,24,-,-,-,D
1962,20100930:0800,20.2,24,15.1,24,13.8,24,-,-,-,D
1962,20101001:0800,17.2,24,11.4,24,12.0,24,-,-,-,D
1962,20101002:0800,15.9,24,10.0,24,8.7,24,-,-,-,D
1962,20101003:0800,16.4,24,8.2,24,7.4,24,-,-,-,D
1962,20101004:0800,16.9,24,7.8,24,7.5,24,-,-,-,D
1962,20101005:0800,18.3,24,7.4,24,7.8,24,-,-,-,D
1962,20101006:0800,18.4,24,11.9,24,11.7,24,-,-,-,D
1962,20101007:0800,16.4,24,12.2,24,11.0,24,-,-,-,D
1962,20101008:0800,17.5,24,11.8,24,11.3,24,-,-,-,D
1962,20101009:0800,19.3,24,13.3,24,12.4,24,-,-,-,D
1962,20101010:0800,17.6,24,9.7,24,8.2,24,-,-,-,D
1962,20101011:0800,16.7,24,8.5,24,8.3,24,-,-,-,D
1962,20101012:0800,13.4,24,6.9,24,5.1,24,-,-,-,D
1962,20101013:0800,16.1,24,9.3,24,7.9,24,-,-,-,D
1962,20101014:0800,17.3,24,12.9,24,11.4,24,-,-,-,D
1962,20101015:0800,21.1,24,13.4,24,13.6,24,-,-,-,D
1962,20101016:0800,17.9,24,12.6,24,12.9,24,-,-,-,D
1962,20101017:0800,17.1,24,12.7,24,11.7,24,-,-,-,D
1962,20101018:0800,17.9,24,11.0,24,10.4,24,-,-,-,D
1962,20101019:0800,17.2,24,8.0,24,8.0,24,-,-,-,D
1962,20101020:0800,17.3,24,11.1,24,11.0,24,-,-,-,D
1962,20101021:0800,15.1,24,10.7,24,9.4,24,-,-,-,D
1962,20101022:0800,16.1,24,11.0,24,9.9,24,-,-,-,D
1962,20101023:0800,16.6,24,9.2,24,9.0,24,-,-,-,D
1962,20101024:0800,17.2,24,8.3,24,7.4,24,-,-,-,D
1962,20101025:0800,21.2,24,10.0,24,10.0,24,-,-,-,D
1962,20101026:0800,19.8,24,10.7,24,9.7,24,-,-,-,D
1962,20101027:0800,20.2,24,11.1,24,9.7,24,-,-,-,D
1962,20101028:0800,20.5,24,10.0,24,9.6,24,-,-,-,D
1962,20101029:0800,20.8,24,11.7,24,10.8,24,-,-,-,D
1962,20101030:0800,21.8,24,11.9,24,11.4,24,-,-,-,D
1962,20101031:0800,19.5,24,9.9,24,9.5,24,-,-,-,D
1962,20101101:0800,18.3,24,9.1,24,8.7,24,-,-,-,D
1962,20101102:0800,20.1,24,11.3,24,11.3,24,-,-,-,D
1962,20101103:0800,17.6,24,9.6,24,9.5,24,-,-,-,D
1962,20101104:0800,18.0,24,9.4,24,8.9,24,-,-,-,D
1962,20101105:0800,20.4,24,15.2,24,15.3,24,-,-,-,D
1962,20101106:0800,17.2,24,11.7,24,10.7,24,-,-,-,D
1962,20101107:0800,17.6,24,10.7,24,10.5,24,-,-,-,D
1962,20101108:0800,17.5,24,7.7,24,8.5,24,-,-,-,D
1962,20101109:0800,18.9,24,10.1,24,10.3,24,-,-,-,D
1962,20101110:0800,19.8,24,11.6,24,11.7,24,-,-,-,D
1962,20101111:0800,19.1,24,13.4,24,13.6,24,-,-,-,D
1962,20101112:0800,19.4,24,14.5,24,15.3,24,-,-,-,D
1962,20101113:0800,19.6,24,13.9,24,13.1,24,-,-,-,D
1962,20101114:0800,20.8,24,16.3,24,16.5,24,-,-,-,D
1962,20101115:0800,21.4,24,15.5,24,16.3,24,-,-,-,D
1962,20101116:0800,20.2,24,12.9,24,13.9,24,-,-,-,D
1962,20101117:0800,22.2,24,12.1,24,11.9,24,-,-,-,D
1962,20101118:0800,22.0,24,12.2,24,13.2,24,-,-,-,D
1962,20101119:0800,23.5,24,15.4,24,11.6,24,-,-,-,D
1962,20101120:0800,23.2,24,18.0,24,18.1,24,-,-,-,D
1962,20101121:0800,22.3,24,15.9,24,16.1,24,-,-,-,D
1962,20101122:0800,18.4,24,15.2,24,12.8,24,-,-,-,D
1962,20101123:0800,19.8,24,11.7,24,9.2,24,-,-,-,D
1962,20101124:0800,18.2,24,9.4,24,5.8,24,-,-,-,D
1962,20101125:0800,20.7,24,12.2,24,9.6,24,-,-,-,D
1962,20101126:0800,20.2,24,16.0,24,15.4,24,-,-,-,D
1962,20101127:0800,22.0,24,14.1,24,9.8,24,-,-,-,D
1962,20101128:0800,22.2,24,16.1,24,15.6,24,-,-,-,D
1962,20101129:0800,23.5,24,16.0,24,15.5,24,-,-,-,D
1962,20101130:0800,24.2,24,16.0,24,15.7,24,-,-,-,D
1962,20101201:0800,22.0,24,14.4,24,12.1,24,-,-,-,D
1962,20101202:0800,24.7,24,16.1,24,16.1,24,-,-,-,D
1962,20101203:0800,21.5,24,15.8,24,15.6,24,-,-,-,D
1962,20101204:0800,22.3,24,17.0,24,16.4,24,-,-,-,D
1962,20101205:0800,23.1,24,16.6,24,15.3,24,-,-,-,D
1962,20101206:0800,22.6,24,15.8,24,13.1,24,-,-,-,D
1962,20101207:0800,23.1,24,17.0,24,16.7,24,-,-,-,D
1962,20101208:0800,21.6,24,16.3,24,14.2,24,-,-,-,D
1962,20101209:0800,22.4,24,13.1,24,10.5,24,-,-,-,D
1962,20101210:0800,23.3,24,14.6,24,12.0,24,-,-,-,D
1962,20101211:0800,22.8,24,13.4,24,11.0,24,-,-,-,D
1962,20101212:0800,24.2,24,18.0,24,18.3,24,-,-,-,D
1962,20101213:0800,25.5,24,17.3,24,16.1,24,-,-,-,D
1962,20101214:0800,26.2,24,19.7,24,20.0,24,-,-,-,D
1962,20101215:0800,24.5,24,18.2,24,18.4,24,-,-,-,D
