Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland, North Shore Albany Ews,37852,A64776,-36.74827,174.71377,64,H,Niwa
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Sunshine: Daily
Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
37852,20110607:2359,3.1,24,D
37852,20110608:2359,4.1,24,D
37852,20110609:2359,0.9,24,D
37852,20110610:2359,0.0,24,D
37852,20110611:2359,0.1,24,D
37852,20110612:2359,6.1,24,D
37852,20110613:2359,4.3,24,D
37852,20110614:2359,1.5,24,D
37852,20110615:2359,3.6,24,D
37852,20110616:2359,5.4,24,D
37852,20110617:2359,0.0,24,D
37852,20110618:2359,3.5,24,D
37852,20110619:2359,2.1,24,D
37852,20110620:2359,1.5,24,D
37852,20110621:2359,7.1,24,D
37852,20110622:2359,3.0,24,D
37852,20110623:2359,2.3,24,D
37852,20110624:2359,1.9,24,D
37852,20110625:2359,5.7,24,D
37852,20110626:2359,4.5,24,D
37852,20110627:2359,6.3,24,D
37852,20110628:2359,3.0,24,D
37852,20110629:2359,2.5,24,D
37852,20110630:2359,7.5,24,D
37852,20110701:2359,7.5,24,D
37852,20110702:2359,6.4,24,D
37852,20110703:2359,3.9,24,D
37852,20110704:2359,1.9,24,D
37852,20110705:2359,3.9,24,D
37852,20110706:2359,3.2,24,D
37852,20110707:2359,3.3,24,D
37852,20110708:2359,3.8,24,D
37852,20110709:2359,5.6,24,D
37852,20110710:2359,5.2,24,D
37852,20110711:2359,6.3,24,D
37852,20110712:2359,4.9,24,D
37852,20110713:2359,3.9,24,D
37852,20110714:2359,0.0,24,D
37852,20110715:2359,4.2,24,D
37852,20110716:2359,6.2,24,D
37852,20110717:2359,7.6,24,D
37852,20110718:2359,7.6,24,D
37852,20110719:2359,6.4,24,D
37852,20110720:2359,3.5,24,D
37852,20110721:2359,0.0,24,D
37852,20110722:2359,0.0,24,D
37852,20110723:2359,4.6,24,D
37852,20110724:2359,1.3,24,D
37852,20110725:2359,4.7,24,D
37852,20110726:2359,5.2,24,D
37852,20110727:2359,4.6,24,D
37852,20110728:2359,6.5,24,D
37852,20110729:2359,3.1,24,D
37852,20110730:2359,3.5,24,D
37852,20110731:2359,6.1,24,D
37852,20110801:2359,3.0,24,D
37852,20110802:2359,4.1,24,D
37852,20110803:2359,6.7,24,D
37852,20110804:2359,7.9,24,D
37852,20110805:2359,3.5,24,D
37852,20110806:2359,1.1,24,D
37852,20110807:2359,3.2,24,D
37852,20110808:2359,1.8,24,D
37852,20110809:2359,1.0,24,D
37852,20110810:2359,6.0,24,D
37852,20110811:2359,5.3,24,D
37852,20110812:2359,4.5,24,D
37852,20110813:2359,2.6,24,D
37852,20110814:2359,5.6,24,D
37852,20110815:2359,4.6,24,D
37852,20110816:2359,3.2,24,D
37852,20110817:2359,7.2,24,D
37852,20110818:2359,8.5,24,D
37852,20110819:2359,8.4,24,D
37852,20110820:2359,7.8,24,D
37852,20110821:2359,7.2,24,D
37852,20110822:2359,7.8,24,D
37852,20110823:2359,4.9,24,D
37852,20110824:2359,2.2,24,D
37852,20110825:2359,1.8,24,D
37852,20110826:2359,7.8,24,D
37852,20110827:2359,7.5,24,D
37852,20110828:2359,4.7,24,D
37852,20110829:2359,1.0,24,D
37852,20110830:2359,0.9,24,D
37852,20110831:2359,3.9,24,D
37852,20110901:2359,4.9,24,D
37852,20110902:2359,5.6,24,D
37852,20110903:2359,3.8,24,D
37852,20110904:2359,4.2,24,D
37852,20110905:2359,8.6,24,D
37852,20110906:2359,5.3,24,D
37852,20110907:2359,2.8,24,D
37852,20110908:2359,6.8,24,D
37852,20110909:2359,8.7,24,D
37852,20110910:2359,8.6,24,D
37852,20110911:2359,1.9,24,D
37852,20110912:2359,6.7,24,D
37852,20110913:2359,5.5,24,D
