Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Sunshine: Daily
Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
4843,20110711:2359,6.6,24,D
4843,20110712:2359,5.5,24,D
4843,20110713:2359,5.0,24,D
4843,20110714:2359,6.9,24,D
4843,20110715:2359,6.1,24,D
4843,20110716:2359,3.9,24,D
4843,20110717:2359,8.6,24,D
4843,20110718:2359,4.8,24,D
4843,20110719:2359,6.4,24,D
4843,20110720:2359,6.9,24,D
4843,20110721:2359,1.9,24,D
4843,20110722:2359,0.0,24,D
4843,20110723:2359,0.4,24,D
4843,20110724:2359,0.0,24,D
4843,20110725:2359,0.2,24,D
4843,20110726:2359,6.0,24,D
4843,20110727:2359,8.6,24,D
4843,20110728:2359,7.9,24,D
4843,20110729:2359,3.1,24,D
4843,20110730:2359,5.9,24,D
4843,20110731:2359,8.0,24,D
4843,20110801:2359,8.9,24,D
4843,20110802:2359,8.7,24,D
4843,20110803:2359,6.4,24,D
4843,20110804:2359,4.8,24,D
4843,20110805:2359,7.2,24,D
4843,20110806:2359,5.9,24,D
4843,20110807:2359,3.4,24,D
4843,20110808:2359,9.6,24,D
4843,20110809:2359,8.2,24,D
4843,20110810:2359,8.1,24,D
4843,20110811:2359,2.8,24,D
4843,20110812:2359,0.0,24,D
4843,20110813:2359,0.0,24,D
4843,20110814:2359,6.3,24,D
4843,20110815:2359,0.5,24,D
4843,20110816:2359,0.1,24,D
4843,20110817:2359,0.0,24,D
4843,20110818:2359,0.7,24,D
4843,20110819:2359,2.1,24,D
4843,20110820:2359,8.8,24,D
4843,20110821:2359,9.1,24,D
4843,20110822:2359,9.7,24,D
4843,20110823:2359,10.4,24,D
4843,20110824:2359,8.4,24,D
4843,20110825:2359,9.8,24,D
4843,20110826:2359,7.7,24,D
