Grid demand trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20200429171210

Parameters
Date range,01 Jan 2010 - 28 Apr 2020
Region type,Zone
Time scale,Day
Show,Final pricing demand

Period start,Period end,Trading period,Region ID,Region,Demand (GWh)
20/02/2010,20/02/2010,N/A,LNI,Lower North Island,16.216
20/02/2010,20/02/2010,N/A,USI,Upper South Island,13.403
20/02/2010,20/02/2010,N/A,LSI,Lower South Island,22.857
21/02/2010,21/02/2010,N/A,UNI,Upper North Island,24.625
21/02/2010,21/02/2010,N/A,CNI,Central North Island,21.190
21/02/2010,21/02/2010,N/A,LNI,Lower North Island,15.762
21/02/2010,21/02/2010,N/A,USI,Upper South Island,13.360
21/02/2010,21/02/2010,N/A,LSI,Lower South Island,22.798
22/02/2010,22/02/2010,N/A,UNI,Upper North Island,30.061
22/02/2010,22/02/2010,N/A,CNI,Central North Island,23.748
22/02/2010,22/02/2010,N/A,LNI,Lower North Island,18.393
22/02/2010,22/02/2010,N/A,USI,Upper South Island,16.366
22/02/2010,22/02/2010,N/A,LSI,Lower South Island,23.634
23/02/2010,23/02/2010,N/A,UNI,Upper North Island,30.687
23/02/2010,23/02/2010,N/A,CNI,Central North Island,24.129
23/02/2010,23/02/2010,N/A,LNI,Lower North Island,17.579
23/02/2010,23/02/2010,N/A,USI,Upper South Island,17.155
23/02/2010,23/02/2010,N/A,LSI,Lower South Island,23.906
24/02/2010,24/02/2010,N/A,UNI,Upper North Island,31.042
24/02/2010,24/02/2010,N/A,CNI,Central North Island,24.492
24/02/2010,24/02/2010,N/A,LNI,Lower North Island,17.162
24/02/2010,24/02/2010,N/A,USI,Upper South Island,17.391
24/02/2010,24/02/2010,N/A,LSI,Lower South Island,24.170
25/02/2010,25/02/2010,N/A,UNI,Upper North Island,31.293
25/02/2010,25/02/2010,N/A,CNI,Central North Island,23.874
25/02/2010,25/02/2010,N/A,LNI,Lower North Island,17.948
25/02/2010,25/02/2010,N/A,USI,Upper South Island,17.505
25/02/2010,25/02/2010,N/A,LSI,Lower South Island,24.181
26/02/2010,26/02/2010,N/A,UNI,Upper North Island,29.693
26/02/2010,26/02/2010,N/A,CNI,Central North Island,23.327
26/02/2010,26/02/2010,N/A,LNI,Lower North Island,15.981
26/02/2010,26/02/2010,N/A,USI,Upper South Island,16.840
26/02/2010,26/02/2010,N/A,LSI,Lower South Island,23.748
27/02/2010,27/02/2010,N/A,UNI,Upper North Island,25.426
27/02/2010,27/02/2010,N/A,CNI,Central North Island,21.916
27/02/2010,27/02/2010,N/A,LNI,Lower North Island,13.068
27/02/2010,27/02/2010,N/A,USI,Upper South Island,15.197
27/02/2010,27/02/2010,N/A,LSI,Lower South Island,23.159
28/02/2010,28/02/2010,N/A,UNI,Upper North Island,24.860
28/02/2010,28/02/2010,N/A,CNI,Central North Island,20.720
28/02/2010,28/02/2010,N/A,LNI,Lower North Island,15.070
28/02/2010,28/02/2010,N/A,USI,Upper South Island,14.873
28/02/2010,28/02/2010,N/A,LSI,Lower South Island,23.147
01/03/2010,01/03/2010,N/A,UNI,Upper North Island,30.578
01/03/2010,01/03/2010,N/A,CNI,Central North Island,22.919
01/03/2010,01/03/2010,N/A,LNI,Lower North Island,17.327
